codigo,nome,Primeiro uso,Observações
LTU,Lituânia,1924,"parte da RUS ( Rússia) 1900–1912
 em uso 1924–1936
 parte da URS ( União Soviética) 1948–1988
 em uso retomado em 1992"
LUX,Luxemburgo,1908,
,,,
MAD,Madagáscar,1964,
MAR,Marrocos,1960,
MAS,Malásia,1956,
MAW,Malawi,1972,
MDA,"Moldávia
 designação do COI: República de Moldova",1996,"parte da RUS ( Rússia) 1900–1912
 parte da ROM ( Roménia) 1920–1936
 parte da URS ( União Soviética) 1952–1988
 parte da EUN ( Equipa Unificada) 1992"
MDV,Maldivas,1988,
MEX,México,1924,
MGL,Mongólia,1964,
MHL,Ilhas Marshall,2008,
MKD,Macedônia do Norte,1996,"parte da YUG ( Iugoslávia) 1920–1988
 atletas individuais como IOP (Participante Olímpico Independente) 1992
 como Antiga República Iugoslava/Jugoslava da Macedônia/Macedónia (1994–2018)"
MLI,Mali,1964,
MLT,Malta,1928,
MNE,Montenegro,2008,
MON,Mónaco,1920,
MOZ,Moçambique,1980,
MRI,Ilhas Maurícias,1984,
MTN,Mauritânia,1984,
MYA,Myanmar,1992,BIR ( Birmânia) 1948–1988
,,,
NAM,Namíbia,1992,
NCA,Nicarágua,1968,
NED,Países Baixos,1900,HOL (Holanda) 1900–1988
NEP,Nepal,1964,
NGR,Nigéria,1952,
NIG,Níger,1968,
NOR,Noruega,1900,
NRU,Nauru,1996,
NZL,Nova Zelândia,1920,parte da ANZ ( Australásia) 1908–1912
,,,
OMA,Omã,1984,
,,,
PAK,Paquistão,1948,
PAN,Panamá,1928,
PAR,Paraguai,1964,
PER,Peru,1936,
PHI,Filipinas,1924,
PLE,Palestina,1996,
PLW,Palau,2000,
PNG,Papua-Nova Guiné,1976,
POL,Polónia,1924,
POR,Portugal,1912,
PRK,Coreia do Norte,1972,
PUR,Porto Rico,1948,
,,,
QAT,Catar,1984,
,,,
ROU,Roménia,1924,
RSA,África do Sul,1992,"bandeira em uso 1904–1924
SAF ( África do Sul) 1928–1960"
RUS,"Rússia
 designação do COI: Federação Russa",1900,"Designada ""Império Russo"" 1900–1912 (código RU1)
 substituída pela URS ( União Soviética) 1952–1988
 parte da EUN ( Equipa Unificada) 1992
 em uso desde 1996"
RWA,Ruanda,1984,
,,,
SAM,Samoa,1984,"""Samoa Ocidental"" 1984–1996"
SEN,Senegal,1964,
SEY,Seicheles,1980,
SGP,Singapura,1948,
SKN,São Cristóvão e Neves,1996,parte da BWI ( Federação das Índias Ocidentais) 1960
SLE,Serra Leoa,1968,
SLO,Eslovênia,1992,parte da YUG ( Iugoslávia) 1920–1988
SMR,San Marino,1960,
SOL,Ilhas Salomão,1984,
SOM,Somália,1972,
SRB,Sérvia,1912,"parte da YUG ( Iugoslávia) 1920–1988
 atletas individuais como IOP (Participante Olímpico Independente) 1992
 parte da YUG ( Iugoslávia) 1996–2002
 parte da SCG ( Sérvia e Montenegro) 2004–2006
 uso a retomar em 2008"
SRI,Sri Lanka,1948,
SSD,Sudão do Sul,2016,
STP,São Tomé e Príncipe,1996,
SUD,Sudão,1960,
SUI,Suíça,1900,
SUR,Suriname,1968,
SVK,Eslováquia,1996,parte da TCH ( Tchecoslováquia) 1920–1992
SWE,Suécia,1896,
SWZ,Essuatíni,1900,
SYR,Síria,1948,
,,,
TAN,Tanzânia,1964,
TGA,Tonga,1984,
THA,Tailândia,1952,
TJK,Tajiquistão,1996,"parte da RUS ( Rússia) 1900–1912
 parte da URS ( União Soviética) 1924–1988
 parte da EUN ( Equipa Unificada) 1992"
TKM,Turquemenistão,1996,"parte da RUS ( Rússia) 1900–1912
 parte da URS ( União Soviética) 1924–1988
 parte da EUN ( Equipa Unificada) 1992"
TLS,Timor-Leste,2004,IOA 2000
TOG,Togo,1972,
TPE,"Taipé Chinesa (Taiwan)
 designação do COI: Taipé Chinês",1979,"como "" Taiwan"" CHN 1932–1956
 como "" Taiwan"" TAI 1960–1964
 como "" Taiwan"" ROC 1968–1972
em uso desde 1984"
TTO,Trinidad e Tobago,1948,"parte da BWI ( Federação das Índias Ocidentais) 1960
 TRT 1964–1968
 TRI 1972–2012"
TUN,Tunísia,1960,
TUR,Turquia,1908,
TUV,Tuvalu,2008,
,,,
UAE,Emirados Árabes Unidos,1984,
UGA,Uganda,1956,
UKR,Ucrânia,1996,"parte da RUS ( Rússia) 1900–1912
 parte da URS ( União Soviética) 1924–1988
 parte da EUN ( Equipa Unificada) 1992"
URU,Uruguai,1924,
USA,Estados Unidos,1896,
UZB,Uzbequistão,1996,"parte da RUS ( Rússia) 1900–1912
 parte da URS ( União Soviética) 1924–1988
 parte da EUN ( Equipa Unificada) 1992"
,,,
VAN,Vanuatu,1988,
VEN,Venezuela,1948,
VIE,Vietname,1952,
VIN,São Vicente e Granadinas,1988,parte da BWI ( Federação das Índias Ocidentais) 1960
,,,
YEM,Iêmen,1992,
,,,
ZAM,Zâmbia,1968,"parte da RHO (Rodésia) 1928–1960
 RHN (Rodésia do Norte) 1964"
ZIM,Zimbabwe,1980,"parte da RHO (Rodésia) 1928–1960
 RHS (Rodésia do Sul) 1964"
